customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,employeeNumber,lastName,firstName,extension,email,officeCode,reportsTo,jobTitle
172,"La Corne D'abondance, Co.",Bertrand,Marie,"(1) 42.34.2555","265, boulevard Charonne",NULL,Paris,NULL,75012,France,1337,84300.00,1337,Bondur,Loui,x6493,lbondur@classicmodelcars.com,4,1102,"Sales Rep"
250,"Lyon Souveniers","Da Silva",Daniel,"+33 1 46 62 7555","27 rue du Colonel Pierre Avia",NULL,Paris,NULL,75508,France,1337,68100.00,1337,Bondur,Loui,x6493,lbondur@classicmodelcars.com,4,1102,"Sales Rep"
350,"Marseille Mini Autos",Lebihan,"Laurence ",91.24.4555,"12, rue des Bouchers",NULL,Marseille,NULL,13008,France,1337,65000.00,1337,Bondur,Loui,x6493,lbondur@classicmodelcars.com,4,1102,"Sales Rep"
353,"Reims Collectables",Henriot,"Paul ",26.47.1555,"59 rue de l'Abbaye",NULL,Reims,NULL,51100,France,1337,81100.00,1337,Bondur,Loui,x6493,lbondur@classicmodelcars.com,4,1102,"Sales Rep"
406,"Auto Canal+ Petit",Perrier,Dominique,"(1) 47.55.6555","25, rue Lauriston",NULL,Paris,NULL,75016,France,1337,95000.00,1337,Bondur,Loui,x6493,lbondur@classicmodelcars.com,4,1102,"Sales Rep"
103,"Atelier graphique",Schmitt,"Carine ",40.32.2555,"54, rue Royale",NULL,Nantes,NULL,44000,France,1370,21000.00,1370,Hernandez,Gerard,x2028,ghernande@classicmodelcars.com,4,1102,"Sales Rep"
119,"La Rochelle Gifts",Labrune,"Janine ",40.67.8555,"67, rue des Cinquante Otages",NULL,Nantes,NULL,44000,France,1370,118200.00,1370,Hernandez,Gerard,x2028,ghernande@classicmodelcars.com,4,1102,"Sales Rep"
141,"Euro+ Shopping Channel",Freyre,"Diego ","(91) 555 94 44","C/ Moralzarzal, 86",NULL,Madrid,NULL,28034,Spain,1370,227600.00,1370,Hernandez,Gerard,x2028,ghernande@classicmodelcars.com,4,1102,"Sales Rep"
171,"Daedalus Designs Imports",Rancé,"Martine ",20.16.1555,"184, chaussée de Tournai",NULL,Lille,NULL,59000,France,1370,82900.00,1370,Hernandez,Gerard,x2028,ghernande@classicmodelcars.com,4,1102,"Sales Rep"
209,"Mini Caravy",Citeaux,"Frédérique ",88.60.1555,"24, place Kléber",NULL,Strasbourg,NULL,67000,France,1370,53800.00,1370,Hernandez,Gerard,x2028,ghernande@classicmodelcars.com,4,1102,"Sales Rep"
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100.00,1370,Hernandez,Gerard,x2028,ghernande@classicmodelcars.com,4,1102,"Sales Rep"
256,"Auto Associés & Cie.",Tonini,"Daniel ",30.59.8555,"67, avenue de l'Europe",NULL,Versailles,NULL,78000,France,1370,77900.00,1370,Hernandez,Gerard,x2028,ghernande@classicmodelcars.com,4,1102,"Sales Rep"
145,"Danish Wholesale Imports",Petersen,"Jytte ","31 12 3555","Vinbæltet 34",NULL,Kobenhavn,NULL,1734,Denmark,1401,83400.00,1401,Castillo,Pamela,x2759,pcastillo@classicmodelcars.com,4,1102,"Sales Rep"
227,"Heintze Collectables",Ibsen,Palle,"86 21 3555","Smagsloget 45",NULL,Århus,NULL,8200,Denmark,1401,120800.00,1401,Castillo,Pamela,x2759,pcastillo@classicmodelcars.com,4,1102,"Sales Rep"
249,"Amica Models & Co.",Accorti,"Paolo ",011-4988555,"Via Monte Bianco 34",NULL,Torino,NULL,10100,Italy,1401,113000.00,1401,Castillo,Pamela,x2759,pcastillo@classicmodelcars.com,4,1102,"Sales Rep"
278,"Rovelli Gifts",Rovelli,"Giovanni ",035-640555,"Via Ludovico il Moro 22",NULL,Bergamo,NULL,24100,Italy,1401,119600.00,1401,Castillo,Pamela,x2759,pcastillo@classicmodelcars.com,4,1102,"Sales Rep"
314,"Petit Auto",Dewey,"Catherine ","(02) 5554 67","Rue Joseph-Bens 532",NULL,Bruxelles,NULL,B-1180,Belgium,1401,79900.00,1401,Castillo,Pamela,x2759,pcastillo@classicmodelcars.com,4,1102,"Sales Rep"
381,"Royale Belge",Cartrain,"Pascale ","(071) 23 67 2555","Boulevard Tirou, 255",NULL,Charleroi,NULL,B-6000,Belgium,1401,23500.00,1401,Castillo,Pamela,x2759,pcastillo@classicmodelcars.com,4,1102,"Sales Rep"
382,"Salzburg Collectables",Pipps,"Georg ",6562-9555,"Geislweg 14",NULL,Salzburg,NULL,5020,Austria,1401,71700.00,1401,Castillo,Pamela,x2759,pcastillo@classicmodelcars.com,4,1102,"Sales Rep"
386,"L'ordine Souveniers",Moroni,"Maurizio ",0522-556555,"Strada Provinciale 124",NULL,"Reggio Emilia",NULL,42100,Italy,1401,121400.00,1401,Castillo,Pamela,x2759,pcastillo@classicmodelcars.com,4,1102,"Sales Rep"
452,"Mini Auto Werke",Mendel,"Roland ",7675-3555,"Kirchgasse 6",NULL,Graz,NULL,8010,Austria,1401,45300.00,1401,Castillo,Pamela,x2759,pcastillo@classicmodelcars.com,4,1102,"Sales Rep"
473,"Frau da Collezione",Ricotti,Franco,"+39 022515555","20093 Cologno Monzese","Alessandro Volta 16",Milan,NULL,NULL,Italy,1401,34800.00,1401,Castillo,Pamela,x2759,pcastillo@classicmodelcars.com,4,1102,"Sales Rep"
186,"Toys of Finland, Co.",Karttunen,Matti,"90-224 8555","Keskuskatu 45",NULL,Helsinki,NULL,21240,Finland,1501,96500.00,1501,Bott,Larry,x2311,lbott@classicmodelcars.com,7,1102,"Sales Rep"
187,"AV Stores, Co.",Ashworth,Rachel,"(171) 555-1555","Fauntleroy Circus",NULL,Manchester,NULL,"EC2 5NT",UK,1501,136800.00,1501,Bott,Larry,x2311,lbott@classicmodelcars.com,7,1102,"Sales Rep"
201,"UK Collectables, Ltd.",Devon,Elizabeth,"(171) 555-2282","12, Berkeley Gardens Blvd",NULL,Liverpool,NULL,"WX1 6LT",UK,1501,92700.00,1501,Bott,Larry,x2311,lbott@classicmodelcars.com,7,1102,"Sales Rep"
240,giftsbymail.co.uk,Bennett,"Helen ","(198) 555-8888","Garden House","Crowther Way 23",Cowes,"Isle of Wight","PO31 7PJ",UK,1501,93900.00,1501,Bott,Larry,x2311,lbott@classicmodelcars.com,7,1102,"Sales Rep"
311,"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,981-443655,"Torikatu 38",NULL,Oulu,NULL,90110,Finland,1501,90500.00,1501,Bott,Larry,x2311,lbott@classicmodelcars.com,7,1102,"Sales Rep"
324,"Stylish Desk Decors, Co.",Brown,"Ann ","(171) 555-0297","35 King George",NULL,London,NULL,"WX3 6FW",UK,1501,77000.00,1501,Bott,Larry,x2311,lbott@classicmodelcars.com,7,1102,"Sales Rep"
334,"Suominen Souveniers",Suominen,Kalle,"+358 9 8045 555","Software Engineering Center","SEC Oy",Espoo,NULL,FIN-02271,Finland,1501,98800.00,1501,Bott,Larry,x2311,lbott@classicmodelcars.com,7,1102,"Sales Rep"
489,"Double Decker Gift Stores, Ltd",Smith,"Thomas ","(171) 555-7555","120 Hanover Sq.",NULL,London,NULL,"WA1 1DP",UK,1501,43300.00,1501,Bott,Larry,x2311,lbott@classicmodelcars.com,7,1102,"Sales Rep"
121,"Baane Mini Imports",Bergulfsen,"Jonas ","07-98 9555","Erling Skakkes gate 78",NULL,Stavern,NULL,4110,Norway,1504,81700.00,1504,Jones,Barry,x102,bjones@classicmodelcars.com,7,1102,"Sales Rep"
128,"Blauer See Auto, Co.",Keitel,Roland,"+49 69 66 90 2555","Lyonerstr. 34",NULL,Frankfurt,NULL,60528,Germany,1504,59700.00,1504,Jones,Barry,x102,bjones@classicmodelcars.com,7,1102,"Sales Rep"
144,"Volvo Model Replicas, Co",Berglund,"Christina ","0921-12 3555","Berguvsvägen  8",NULL,Luleå,NULL,"S-958 22",Sweden,1504,53100.00,1504,Jones,Barry,x102,bjones@classicmodelcars.com,7,1102,"Sales Rep"
167,"Herkku Gifts",Oeztan,Veysel,"+47 2267 3215","Brehmen St. 121","PR 334 Sentrum",Bergen,NULL,"N 5804","Norway  ",1504,96800.00,1504,Jones,Barry,x102,bjones@classicmodelcars.com,7,1102,"Sales Rep"
189,"Clover Collections, Co.",Cassidy,Dean,"+353 1862 1555","25 Maiden Lane","Floor No. 4",Dublin,NULL,2,Ireland,1504,69400.00,1504,Jones,Barry,x102,bjones@classicmodelcars.com,7,1102,"Sales Rep"
259,"Toms Spezialitäten, Ltd",Pfalzheim,"Henriette ",0221-5554327,"Mehrheimerstr. 369",NULL,Köln,NULL,50739,Germany,1504,120400.00,1504,Jones,Barry,x102,bjones@classicmodelcars.com,7,1102,"Sales Rep"
299,"Norway Gifts By Mail, Co.",Klaeboe,Jan,"+47 2212 1555","Drammensveien 126A","PB 211 Sentrum",Oslo,NULL,"N 0106","Norway  ",1504,95100.00,1504,Jones,Barry,x102,bjones@classicmodelcars.com,7,1102,"Sales Rep"
415,"Bavarian Collectables Imports, Co.",Donnermeyer,Michael," +49 89 61 08 9555","Hansastr. 15",NULL,Munich,NULL,80686,Germany,1504,77000.00,1504,Jones,Barry,x102,bjones@classicmodelcars.com,7,1102,"Sales Rep"
448,"Scandinavian Gift Ideas",Larsson,Martha,"0695-34 6555","Åkergatan 24",NULL,Bräcke,NULL,"S-844 67",Sweden,1504,116400.00,1504,Jones,Barry,x102,bjones@classicmodelcars.com,7,1102,"Sales Rep"
114,"Australian Collectors, Co.",Ferguson,Peter,"03 9520 4555","636 St Kilda Road","Level 3",Melbourne,Victoria,3004,Australia,1611,117300.00,1611,Fixter,Andy,x101,afixter@classicmodelcars.com,6,1088,"Sales Rep"
276,"Anna's Decorations, Ltd",O'Hara,Anna,"02 9936 8555","201 Miller Street","Level 15","North Sydney",NSW,2060,Australia,1611,107800.00,1611,Fixter,Andy,x101,afixter@classicmodelcars.com,6,1088,"Sales Rep"
282,"Souveniers And Things Co.",Huxley,Adrian,"+61 2 9495 8555","Monitor Money Building","815 Pacific Hwy",Chatswood,NSW,2067,Australia,1611,93300.00,1611,Fixter,Andy,x101,afixter@classicmodelcars.com,6,1088,"Sales Rep"
333,"Australian Gift Network, Co",Calaghan,Ben,61-7-3844-6555,"31 Duncan St. West End",NULL,"South Brisbane",Queensland,4101,Australia,1611,51600.00,1611,Fixter,Andy,x101,afixter@classicmodelcars.com,6,1088,"Sales Rep"
471,"Australian Collectables, Ltd",Clenahan,Sean,61-9-3844-6555,"7 Allen Street",NULL,"Glen Waverly",Victoria,3150,Australia,1611,60300.00,1611,Fixter,Andy,x101,afixter@classicmodelcars.com,6,1088,"Sales Rep"
166,"Handji Gifts& Co",Victorino,Wendy,"+65 224 1555","106 Linden Road Sandown","2nd Floor",Singapore,NULL,069045,Singapore,1612,97900.00,1612,Marsh,Peter,x102,pmarsh@classicmodelcars.com,6,1088,"Sales Rep"
323,"Down Under Souveniers, Inc",Graham,Mike,"+64 9 312 5555","162-164 Grafton Road","Level 2","Auckland  ",NULL,NULL,"New Zealand",1612,88000.00,1612,Marsh,Peter,x102,pmarsh@classicmodelcars.com,6,1088,"Sales Rep"
357,GiftsForHim.com,MacKinlay,Wales,64-9-3763555,"199 Great North Road",NULL,Auckland,NULL,NULL,"New Zealand",1612,77700.00,1612,Marsh,Peter,x102,pmarsh@classicmodelcars.com,6,1088,"Sales Rep"
412,"Extreme Desk Decorations, Ltd",McRoy,Sarah,"04 499 9555","101 Lambton Quay","Level 11",Wellington,NULL,NULL,"New Zealand",1612,86800.00,1612,Marsh,Peter,x102,pmarsh@classicmodelcars.com,6,1088,"Sales Rep"
496,"Kelly's Gift Shop",Snowden,Tony,"+64 9 5555500","Arenales 1938 3'A'",NULL,"Auckland  ",NULL,NULL,"New Zealand",1612,110000.00,1612,Marsh,Peter,x102,pmarsh@classicmodelcars.com,6,1088,"Sales Rep"
148,"Dragon Souveniers, Ltd.",Natividad,Eric,"+65 221 7555","Bronz Sok.","Bronz Apt. 3/6 Tesvikiye",Singapore,NULL,079903,Singapore,1621,103800.00,1621,Nishi,Mami,x101,mnishi@classicmodelcars.com,5,1056,"Sales Rep"
177,"Osaka Souveniers Co.",Kentary,Mory,"+81 06 6342 5555","1-6-20 Dojima",NULL,Kita-ku,Osaka," 530-0003",Japan,1621,81200.00,1621,Nishi,Mami,x101,mnishi@classicmodelcars.com,5,1056,"Sales Rep"
211,"King Kong Collectables, Co.",Gao,Mike,"+852 2251 1555","Bank of China Tower","1 Garden Road","Central Hong Kong",NULL,NULL,"Hong Kong",1621,58600.00,1621,Nishi,Mami,x101,mnishi@classicmodelcars.com,5,1056,"Sales Rep"
385,"Cruz & Sons Co.",Cruz,Arnold,"+63 2 555 3587","15 McCallum Street","NatWest Center #13-03","Makati City",NULL,"1227 MM",Philippines,1621,81500.00,1621,Nishi,Mami,x101,mnishi@classicmodelcars.com,5,1056,"Sales Rep"
398,"Tokyo Collectables, Ltd",Shimamura,Akiko,"+81 3 3584 0555","2-2-8 Roppongi",NULL,Minato-ku,Tokyo,106-0032,Japan,1621,94400.00,1621,Nishi,Mami,x101,mnishi@classicmodelcars.com,5,1056,"Sales Rep"
216,"Enaco Distributors",Saavedra,"Eduardo ","(93) 203 4555","Rambla de Cataluña, 23",NULL,Barcelona,NULL,08022,Spain,1702,60300.00,1702,Gerard,Martin,x2312,mgerard@classicmodelcars.com,4,1102,"Sales Rep"
298,"Vida Sport, Ltd",Holz,Mihael,0897-034555,"Grenzacherweg 237",NULL,Genève,NULL,1203,Switzerland,1702,141300.00,1702,Gerard,Martin,x2312,mgerard@classicmodelcars.com,4,1102,"Sales Rep"
344,"CAF Imports",Fernandez,Jesus,"+34 913 728 555","Merchants House","27-30 Merchant's Quay",Madrid,NULL,28023,Spain,1702,59600.00,1702,Gerard,Martin,x2312,mgerard@classicmodelcars.com,4,1102,"Sales Rep"
376,"Precious Collectables",Urs,Braun,0452-076555,"Hauptstr. 29",NULL,Bern,NULL,3012,Switzerland,1702,0.00,1702,Gerard,Martin,x2312,mgerard@classicmodelcars.com,4,1102,"Sales Rep"
458,"Corrida Auto Replicas, Ltd",Sommer,"Martín ","(91) 555 22 82","C/ Araquil, 67",NULL,Madrid,NULL,28023,Spain,1702,104600.00,1702,Gerard,Martin,x2312,mgerard@classicmodelcars.com,4,1102,"Sales Rep"
484,"Iberia Gift Imports, Corp.",Roel,"José Pedro ","(95) 555 82 82","C/ Romero, 33",NULL,Sevilla,NULL,41101,Spain,1702,65700.00,1702,Gerard,Martin,x2312,mgerard@classicmodelcars.com,4,1102,"Sales Rep"
